                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.40758,                 0.4655,                0.80255,                0.98891,                0.99443,                0.99184,                0.91235,                0.39484,                0.38747,                0.80559,             0.00046699,             0.00046699,             0.00046699
                      2,                0.44012,                0.48996,                0.80896,                0.97576,                0.97405,                0.98843,                0.89685,                0.42569,                0.43102,                0.81501,             0.00084994,             0.00084994,             0.00084994
                      3,                0.46234,                0.49669,                 0.8184,                0.97706,                0.98021,                0.99181,                0.89477,                0.45076,                0.43806,                0.82146,              0.0011386,              0.0011386,              0.0011386
                      4,                0.44555,                 0.4774,                0.81256,                0.97529,                0.99225,                0.99296,                0.90842,                0.40331,                0.40659,                0.80791,              0.0010046,              0.0010046,              0.0010046
                      5,                0.43161,                0.43203,                0.81617,                0.97518,                0.97002,                 0.9839,                0.90577,                 0.3964,                0.38223,                0.80765,             0.00086312,             0.00086312,             0.00086312
                      6,                0.42232,                0.41207,                0.80614,                0.99477,                0.99772,                0.99214,                0.91306,                0.39478,                0.31747,                0.80475,             0.00072164,             0.00072164,             0.00072164
                      7,                0.41764,                0.38361,                0.80832,                0.99107,                0.99992,                0.99224,                0.91367,                0.40137,                0.32621,                0.80934,             0.00058017,             0.00058017,             0.00058017
                      8,                0.40247,                0.36431,                0.80354,                0.99648,                      1,                0.99218,                 0.9244,                0.36823,                0.29058,                 0.7999,              0.0004387,              0.0004387,              0.0004387
                      9,                0.39076,                0.34561,                0.79833,                 0.9944,                0.99851,                0.99197,                0.92101,                0.37085,                0.27958,                0.80016,             0.00029723,             0.00029723,             0.00029723
                     10,                0.38606,                 0.3288,                0.79761,                0.99638,                      1,                0.99342,                0.93113,                0.34976,                0.26004,                0.79782,             0.00015576,             0.00015576,             0.00015576
